vacunados,Dosis-disp,completos,Fecha,Una dosis,date,strfecha,new_vaccines,smooth,Por100
96793184.0,114047815.0,42715579.0,22/09/21,62692366.0,2021-09-22,2021-09-22,712551.0,559588.9764085531,76.81143806660756
97523713.0,114047815.0,43248659.0,23/09/21,62911164.0,2021-09-23,2021-09-23,730529.0,598296.5995426677,77.39115846344214
98282544.0,114047815.0,43820430.0,24/09/21,63125382.0,2021-09-24,2021-09-24,758831.0,599500.200172615,77.99333826527118
98895325.0,114047815.0,44278675.0,25/09/21,63317849.0,2021-09-25,2021-09-25,612781.0,563871.4598017688,78.47961826851906
99186517.0,114947815.0,44511000.0,26/09/21,63396136.0,2021-09-26,2021-09-26,291192.0,510994.01392263744,78.71069731095962
99366403.0,114947815.0,44626347.0,27/09/21,63473608.0,2021-09-27,2021-09-27,179886.0,474209.4412825946,78.85344808923807
99868671.0,116353405.0,44902572.0,28/09/21,63550739.0,2021-09-28,2021-09-28,502268.0,474441.1746574125,79.2520291233617
100516964.0,116353405.0,45284037.0,29/09/21,63719420.0,2021-09-29,2021-09-29,648293.0,503794.7207287815,79.76649011700475
101190484.0,116353405.0,45572525.0,30/09/21,63913428.0,2021-09-30,2021-09-30,673520.0,540325.0016471425,80.30097031105046
101782415.0,118350005.0,45794439.0,01/10/21,64048979.0,2021-10-01,2021-10-01,591931.0,557272.9685230291,80.77070453682202
102305212.0,118350005.0,45976913.0,02/10/21,64208718.0,2021-10-02,2021-10-02,522797.0,559401.7123656101,81.18557661486948
102643418.0,118350005.0,45654543.0,03/10/21,64323090.0,2021-10-03,2021-10-03,338206.0,558814.8786391679,81.45396420322233
103446451.0,118350005.0,45464272.0,04/10/21,65345758.0,2021-10-04,2021-10-04,803033.0,568978.8390504495,82.09122105330118
103829904.0,118947285.0,45714485.0,05/10/21,65479465.0,2021-10-05,2021-10-05,383453.0,594404.0200244465,82.39551496268383
104554441.0,119828085.0,46309831.0,06/10/21,65692031.0,2021-10-06,2021-10-06,724537.0,626683.1598746659,82.97048033320482
105320232.0,121328085.0,46986802.0,07/10/21,65879194.0,2021-10-07,2021-10-07,765791.0,647741.5994299671,83.57818332981732
106121884.0,123924685.0,47692378.0,08/10/21,66049447.0,2021-10-08,2021-10-08,801652.0,643306.1003065138,84.21434427012663
106730702.0,123924685.0,48166370.0,09/10/21,66225915.0,2021-10-09,2021-10-09,608818.0,614644.1723200782,84.69747938531032
107154354.0,123924685.0,48510493.0,10/10/21,66324955.0,2021-10-10,2021-10-10,423652.0,575599.6499709588,85.03367371237982
107381477.0,123924685.0,48482445.0,11/10/21,66680553.0,2021-10-11,2021-10-11,227123.0,565943.548119694,85.21391000100115
107921674.0,123924685.0,48874683.0,12/10/21,66900796.0,2021-10-12,2021-10-12,540197.0,600850.6414585535,85.64259006600726
108947179.0,124519045.0,49588993.0,13/10/21,67340974.0,2021-10-13,2021-10-13,1025505.0,667744.491176312,86.45639234566464
109804303.0,126689345.0,50197534.0,14/10/21,67694025.0,2021-10-14,2021-10-14,857124.0,724388.2521994818,87.13657378324812
