,Casos,Defunciones,Casospor100k,Defpor100k,FECHAS
2020-09-13,770.0,88.0,3.5274267046541508,0.403134480531903,2020-09-13
2020-09-14,1285.0,87.0,5.886679630494265,0.398553406889495,2020-09-14
2020-09-15,1463.0,103.0,6.702110738842887,0.4718505851680228,2020-09-15
2020-09-16,951.0,90.0,4.356601033929997,0.41229662781671894,2020-09-16
2020-09-17,1222.0,82.0,5.598071991022562,0.37564803867745505,2020-09-17
2020-09-18,1460.0,95.0,6.688367517915663,0.43520199602875886,2020-09-18
2020-09-19,1201.0,89.0,5.501869444531994,0.40771555417431093,2020-09-19
2020-09-20,1609.0,95.0,7.370947490634453,0.43520199602875886,2020-09-20
2020-09-21,1391.0,82.0,6.372273436589512,0.37564803867745505,2020-09-21
2020-09-22,1209.0,101.0,5.538518033671258,0.4626884378832068,2020-09-22
2020-09-23,1163.0,103.0,5.32778864612049,0.4718505851680228,2020-09-23
2020-09-24,1147.0,94.0,5.254491467841962,0.4306209223863509,2020-09-24
2020-09-25,1466.0,80.0,6.715853959770111,0.36648589139263904,2020-09-25
2020-09-26,1029.0,84.0,4.7139247780378195,0.384810185962271,2020-09-26
2020-09-27,1027.0,87.0,4.704762630753004,0.398553406889495,2020-09-27
2020-09-28,1339.0,80.0,6.134057607184296,0.36648589139263904,2020-09-28
2020-09-29,1305.0,84.0,5.9783011033424245,0.384810185962271,2020-09-29
2020-09-30,1246.0,82.0,5.708017758440353,0.37564803867745505,2020-09-30
2020-10-01,1881.0,67.0,8.616999521369426,0.30693193404133523,2020-10-01
2020-10-02,1119.0,96.0,5.126221405854539,0.43978306967116687,2020-10-02
2020-10-03,997.0,83.0,4.567330421480764,0.380229112319863,2020-10-03
2020-10-04,880.0,89.0,4.03134480531903,0.40771555417431093,2020-10-04
2020-10-05,1567.0,99.0,7.178542397653318,0.45352629059839084,2020-10-05
2020-10-06,1222.0,82.0,5.598071991022562,0.37564803867745505,2020-10-06
2020-10-07,1370.0,69.0,6.276070890098944,0.3160940813261512,2020-10-07
2020-10-08,1265.0,83.0,5.795058157646105,0.380229112319863,2020-10-08
2020-10-09,1230.0,82.0,5.634720580161826,0.37564803867745505,2020-10-09
2020-10-10,1985.0,102.0,9.093431180179856,0.4672695115256148,2020-10-10
2020-10-11,1095.0,84.0,5.016275638436747,0.384810185962271,2020-10-11
2020-10-12,1673.0,99.0,7.664136203748564,0.45352629059839084,2020-10-12
2020-10-13,1451.0,74.0,6.647137855133991,0.3389994495381911,2020-10-13
2020-10-14,1387.0,86.0,6.3539491420198795,0.39397233324708697,2020-10-14
2020-10-15,1905.0,78.0,8.726945288787217,0.3573237441078231,2020-10-15
2020-10-16,1680.0,79.0,7.69620371924542,0.3619048177502311,2020-10-16
2020-10-17,1409.0,82.0,6.454732762152855,0.37564803867745505,2020-10-17
2020-10-18,1417.0,87.0,6.4913813512921195,0.398553406889495,2020-10-18
2020-10-19,2054.0,108.0,9.409525261506008,0.49475595338006273,2020-10-19
2020-10-20,2678.0,87.0,12.268115214368592,0.398553406889495,2020-10-20
2020-10-21,1668.0,95.0,7.641230835536525,0.43520199602875886,2020-10-21
2020-10-22,1680.0,96.0,7.69620371924542,0.43978306967116687,2020-10-22
2020-10-23,1762.0,105.0,8.071851757922875,0.48101273245283876,2020-10-23
2020-10-24,1374.0,85.0,6.294395184668576,0.389391259604679,2020-10-24
2020-10-25,1691.0,79.0,7.746595529311908,0.3619048177502311,2020-10-25
2020-10-26,2150.0,98.0,9.849308331177175,0.44894521695598283,2020-10-26
2020-10-27,1801.0,85.0,8.250513629976787,0.389391259604679,2020-10-27
2020-10-28,1888.0,103.0,8.649067036866281,0.4718505851680228,2020-10-28
2020-10-29,1568.0,91.0,7.183123471295725,0.41687770145912695,2020-10-29
2020-10-30,1866.0,89.0,8.548283416733305,0.40771555417431093,2020-10-30
2020-10-31,1243.0,90.0,5.694274537513129,0.41229662781671894,2020-10-31
2020-11-01,2311.0,98.0,10.58686118760486,0.44894521695598283,2020-11-01
2020-11-02,1910.0,99.0,8.749850656999257,0.45352629059839084,2020-11-02
2020-11-03,2203.0,85.0,10.092105234224798,0.389391259604679,2020-11-03
2020-11-04,1835.0,113.0,8.406270133818659,0.5176613215921027,2020-11-04
2020-11-05,2066.0,109.0,9.464498145214904,0.49933702702247074,2020-11-05
2020-11-06,2040.0,112.0,9.345390230512296,0.5130802479496946,2020-11-06
2020-11-07,1766.0,112.0,8.090176052492508,0.5130802479496946,2020-11-07
2020-11-08,1567.0,98.0,7.178542397653318,0.44894521695598283,2020-11-08
2020-11-09,2569.0,113.0,11.768778187346122,0.5176613215921027,2020-11-09
2020-11-10,2725.0,112.0,12.483425675561769,0.5130802479496946,2020-11-10
2020-11-11,2163.0,116.0,9.908862288528479,0.5314045425193267,2020-11-11
2020-11-12,1943.0,134.0,8.901026087198721,0.6138638680826705,2020-11-12
2020-11-13,1933.0,120.0,8.85521535077464,0.5497288370889586,2020-11-13
2020-11-14,1656.0,114.0,7.586257951827628,0.5222423952345107,2020-11-14
2020-11-15,2140.0,112.0,9.803497594753095,0.5130802479496946,2020-11-15
2020-11-16,2051.0,125.0,9.395782040578784,0.5726342053009985,2020-11-16
2020-11-17,2478.0,124.0,11.351900485886995,0.5680531316585905,2020-11-17
2020-11-18,2567.0,128.0,11.759616040061307,0.5863774262282225,2020-11-18
2020-11-19,2230.0,130.0,10.215794222569814,0.5955395735130384,2020-11-19
2020-11-20,4059.0,142.0,18.594577914534025,0.6505124572219343,2020-11-20
2020-11-21,2440.0,136.0,11.177819687475491,0.6230260153674864,2020-11-21
2020-11-22,2401.0,150.0,10.99915781542158,0.6871610463611982,2020-11-22
2020-11-23,3450.0,141.0,15.80470406630756,0.6459313835795263,2020-11-23
2020-11-24,3001.0,138.0,13.747802000866372,0.6321881626523024,2020-11-24
2020-11-25,3608.0,149.0,16.52851370180802,0.6825799727187902,2020-11-25
2020-11-26,3026.0,155.0,13.862328841926573,0.7100664145732382,2020-11-26
2020-11-27,3471.0,167.0,15.900906612798128,0.765039298282134,2020-11-27
2020-11-28,3571.0,144.0,16.359013977038927,0.6596746045067503,2020-11-28
2020-11-29,2980.0,137.0,13.651599454375805,0.6276070890098944,2020-11-29
2020-11-30,5515.0,159.0,25.264621137880056,0.7283907091428701,2020-11-30
2020-12-01,6457.0,186.0,29.57999250902838,0.8520796974878858,2020-12-01
2020-12-02,4816.0,165.0,22.06245066183687,0.755877150997318,2020-12-02
2020-12-03,4706.0,153.0,21.558532561171994,0.7009042672884221,2020-12-03
2020-12-04,4865.0,171.0,22.286923270314862,0.7833635928517659,2020-12-04
2020-12-05,5118.0,170.0,23.445934901844083,0.778782519209358,2020-12-05
2020-12-06,3724.0,176.0,17.05991824432735,0.806268961063806,2020-12-06
2020-12-07,6193.0,217.0,28.37058906743267,0.9940929804025335,2020-12-07
2020-12-08,5373.0,197.0,24.61410868065812,0.9024715075543737,2020-12-08
2020-12-09,5453.0,194.0,24.98059457205076,0.8887282866271498,2020-12-09
2020-12-10,6468.0,220.0,29.63038431909487,1.0078362013297575,2020-12-10
