,Casos,Defunciones,Casospor100k,Defpor100k,FECHAS
2020-10-12,152.0,7.0,10.59762961702816,0.48804873236313895,2020-10-12
2020-10-13,152.0,3.0,10.59762961702816,0.20916374244134525,2020-10-13
2020-10-14,177.0,5.0,12.34066080403937,0.3486062374022421,2020-10-14
2020-10-15,183.0,5.0,12.75898828892206,0.3486062374022421,2020-10-15
2020-10-16,168.0,5.0,11.713169576715334,0.3486062374022421,2020-10-16
2020-10-17,147.0,5.0,10.249023379625918,0.3486062374022421,2020-10-17
2020-10-18,227.0,11.0,15.82672317806179,0.7669337222849326,2020-10-18
2020-10-19,292.0,5.0,20.35860426429094,0.3486062374022421,2020-10-19
2020-10-20,272.0,11.0,18.96417931468197,0.7669337222849326,2020-10-20
2020-10-21,273.0,10.0,19.03390056216242,0.6972124748044842,2020-10-21
2020-10-22,284.0,9.0,19.80083428444735,0.6274912273240357,2020-10-22
2020-10-23,190.0,20.0,13.2470370212852,1.3944249496089685,2020-10-23
2020-10-24,171.0,15.0,11.92233331915668,1.0458187122067264,2020-10-24
2020-10-25,203.0,13.0,14.153413238531028,0.9063762172458294,2020-10-25
2020-10-26,250.0,17.0,17.430311870112106,1.1852612071676232,2020-10-26
2020-10-27,225.0,21.0,15.687280683100894,1.4641461970894167,2020-10-27
2020-10-28,203.0,12.0,14.153413238531028,0.836654969765381,2020-10-28
2020-10-29,193.0,19.0,13.456200763726544,1.32470370212852,2020-10-29
2020-10-30,212.0,22.0,14.780904465855064,1.5338674445698652,2020-10-30
2020-10-31,164.0,19.0,11.43428458679354,1.32470370212852,2020-10-31
2020-11-01,256.0,15.0,17.848639354994795,1.0458187122067264,2020-11-01
2020-11-02,270.0,21.0,18.824736819721075,1.4641461970894167,2020-11-02
2020-11-03,167.0,19.0,11.643448329234886,1.32470370212852,2020-11-03
2020-11-04,231.0,19.0,16.105608167983586,1.32470370212852,2020-11-04
2020-11-05,200.0,32.0,13.944249496089684,2.2310799193743494,2020-11-05
2020-11-06,221.0,21.0,15.4083956931791,1.4641461970894167,2020-11-06
2020-11-07,154.0,18.0,10.737072111989056,1.2549824546480715,2020-11-07
2020-11-08,193.0,20.0,13.456200763726544,1.3944249496089685,2020-11-08
2020-11-09,273.0,28.0,19.03390056216242,1.9521949294525558,2020-11-09
